"NOME_CATMETROPOL";"tipo";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Região Metropolitana do Sul do Estado";"Pedestres";3;1;NA;NA;1;1;3;2;1;2;2;NA;1;NA;NA;2;1;3;2;2;1;4;NA
"Região Metropolitana do Sudoeste Maranhense";"Pedestres";4;7;12;6;21;33;23;21;9;12;15;35;39;36;39;24;31;26;29;77;58;64;NA
"Região Metropolitana do Sertão";"Pedestres";1;4;4;2;5;8;3;6;2;6;5;2;2;2;NA;4;1;1;3;7;3;2;NA
"Região Metropolitana do Rio de Janeiro";"Pedestres";486;484;552;519;597;587;592;438;403;390;589;536;470;348;411;348;223;294;404;164;303;330;NA
"Região Metropolitana do Planalto Norte";"Pedestres";NA;1;1;1;1;1;1;NA;NA;1;NA;3;1;NA;NA;1;1;NA;3;1;2;NA;NA
"Região Metropolitana do Médio Sertão";"Pedestres";3;1;6;10;3;3;3;4;3;8;9;4;2;1;NA;2;NA;4;4;5;4;6;NA
"Região Metropolitana do Extremo Oeste";"Pedestres";2;2;2;NA;NA;2;NA;1;2;2;4;1;2;NA;NA;3;2;3;1;2;NA;3;NA
"Região Metropolitana do Contestado";"Pedestres";3;7;3;4;5;NA;2;1;3;3;2;5;4;1;3;2;1;3;5;3;4;2;NA
"Região Metropolitana do Cariri";"Pedestres";24;30;19;18;33;49;29;29;29;26;13;5;1;18;18;9;8;15;23;20;13;6;NA
"Região Metropolitana do Alto Vale do Itajaí";"Pedestres";NA;2;NA;1;3;NA;3;1;1;5;NA;2;3;NA;NA;3;NA;2;1;1;3;NA;NA
"Região Metropolitana do Agreste";"Pedestres";21;18;27;27;34;52;41;35;35;50;47;28;24;19;9;10;19;28;22;21;30;40;NA
"Região Metropolitana de Umuarama";"Pedestres";3;2;3;4;9;3;3;3;2;3;2;3;1;5;3;6;4;3;5;2;4;4;NA
"Região Metropolitana de Tubarão";"Pedestres";1;NA;1;NA;1;5;NA;NA;1;2;3;3;2;NA;3;2;NA;3;NA;2;3;4;NA
"Região Metropolitana de Toledo";"Pedestres";4;4;4;1;4;2;3;2;4;NA;2;2;4;2;4;5;7;5;1;3;5;9;NA
"Região Metropolitana de São Paulo";"Pedestres";201;377;255;334;341;396;398;420;372;371;395;398;372;314;409;321;277;254;204;274;194;235;NA
"Região Metropolitana de São José do Rio Preto";"Pedestres";9;9;10;6;5;5;6;9;6;8;4;5;7;5;12;9;5;6;6;8;5;3;NA
"Região Metropolitana de Sousa";"Pedestres";1;NA;NA;NA;1;NA;NA;1;1;1;1;1;2;1;2;2;NA;2;NA;2;NA;NA;NA
"Região Metropolitana de Sorocaba";"Pedestres";7;16;29;23;18;20;25;25;26;18;26;33;33;24;26;20;17;24;26;24;18;26;NA
"Região Metropolitana de Sobral";"Pedestres";3;3;8;14;14;14;25;33;23;18;30;23;23;28;30;31;28;30;27;30;36;20;NA
"Região Metropolitana de Santarém";"Pedestres";NA;NA;1;5;3;3;2;NA;4;2;5;1;3;NA;3;1;4;17;NA;13;11;4;NA
"Região Metropolitana de Salvador";"Pedestres";30;65;79;88;59;200;191;175;69;69;207;182;177;137;143;111;94;89;62;61;58;51;NA
"Região Metropolitana de Ribeirão Preto";"Pedestres";10;10;17;8;10;11;11;13;10;19;19;15;7;14;12;13;21;13;22;15;14;14;NA
"Região Metropolitana de Recife";"Pedestres";263;249;276;241;293;258;284;224;221;239;250;166;174;134;163;150;144;158;146;139;124;113;NA
"Região Metropolitana de Porto Velho";"Pedestres";NA;2;9;7;2;2;9;7;1;14;15;8;11;16;10;21;17;6;15;8;14;4;NA
"Região Metropolitana de Porto Alegre";"Pedestres";29;31;31;25;31;35;31;15;33;26;31;18;14;25;21;26;13;16;22;35;14;7;NA
"Região Metropolitana de Piracicaba";"Pedestres";7;7;14;21;13;18;18;17;19;12;11;20;15;10;15;12;11;20;13;19;18;14;NA
"Região Metropolitana de Patos";"Pedestres";2;2;3;NA;3;4;2;1;2;1;NA;1;1;2;6;3;1;4;4;3;5;4;NA
"Região Metropolitana de Palmeira dos Índios";"Pedestres";1;1;NA;2;NA;1;NA;NA;1;2;2;NA;NA;NA;NA;NA;NA;1;1;NA;1;NA;NA
"Região Metropolitana de Palmas";"Pedestres";11;13;9;10;16;10;11;11;16;16;11;10;17;12;16;10;8;12;12;7;14;9;NA
"Região Metropolitana de Natal";"Pedestres";55;42;43;41;39;29;19;27;22;22;37;41;26;29;24;28;22;37;22;22;19;31;NA
"Região Metropolitana de Maringá";"Pedestres";14;7;17;12;11;12;10;16;9;11;10;9;15;12;8;10;7;11;11;9;13;8;NA
"Região Metropolitana de Manaus";"Pedestres";126;101;104;115;109;109;130;115;108;105;152;163;124;113;105;115;102;84;112;92;83;79;NA
"Região Metropolitana de Maceió";"Pedestres";130;160;122;56;73;73;72;72;47;48;34;52;53;33;29;22;9;31;24;22;33;29;NA
"Região Metropolitana de Macapá";"Pedestres";21;85;67;79;58;81;50;NA;5;NA;1;3;8;6;20;10;14;19;18;9;7;12;NA
"Região Metropolitana de Londrina";"Pedestres";12;13;12;9;15;12;17;11;9;10;11;15;12;8;11;11;9;15;4;13;15;17;NA
"Região Metropolitana de Lages";"Pedestres";1;2;NA;1;1;2;2;1;2;1;2;4;4;1;2;3;3;4;6;1;4;4;NA
"Região Metropolitana de Jundiaí";"Pedestres";NA;2;9;9;8;11;7;15;14;2;4;11;7;3;13;12;6;15;9;13;14;25;NA
"Região Metropolitana de João Pessoa";"Pedestres";28;36;80;74;53;77;65;69;79;46;56;49;69;51;43;46;43;57;47;53;26;26;NA
"Região Metropolitana de Joinville";"Pedestres";2;2;4;2;1;4;2;3;4;6;5;9;7;1;4;4;7;8;7;6;2;10;NA
"Região Metropolitana de Jaraguá do Sul";"Pedestres";1;2;1;NA;1;1;2;1;NA;1;NA;2;NA;NA;3;1;NA;1;2;5;1;NA;NA
"Região Metropolitana de Itabaiana";"Pedestres";NA;1;5;NA;2;3;3;7;1;1;2;3;1;1;2;NA;1;1;1;NA;NA;2;NA
"Região Metropolitana de Gurupi";"Pedestres";1;4;3;4;2;3;5;6;11;7;15;6;9;6;6;6;1;3;7;3;3;3;NA
"Região Metropolitana de Guarabira";"Pedestres";2;7;3;1;5;2;3;3;3;4;1;3;3;1;5;NA;8;3;NA;2;NA;3;NA
"Região Metropolitana de Goiânia";"Pedestres";48;52;49;45;54;94;63;69;84;63;95;84;106;79;94;67;63;80;59;68;62;80;NA
"Região Metropolitana de Fortaleza";"Pedestres";146;143;120;129;125;113;150;243;158;141;203;140;110;105;92;96;84;161;125;106;63;55;NA
"Região Metropolitana de Florianópolis";"Pedestres";15;14;8;10;4;8;15;10;7;2;10;9;5;6;8;8;9;8;3;11;8;10;NA
"Região Metropolitana de Feira de Santana";"Pedestres";14;12;11;4;7;14;16;25;21;17;25;16;12;13;9;3;2;NA;6;3;2;5;NA
"Região Metropolitana de Esperança";"Pedestres";1;NA;2;3;1;5;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA
"Região Metropolitana de Curitiba";"Pedestres";17;14;12;12;11;28;14;24;20;13;14;12;19;15;18;14;11;30;13;26;25;45;NA
"Região Metropolitana de Chapecó";"Pedestres";3;2;2;NA;2;2;1;1;6;3;2;1;2;NA;1;2;2;5;1;4;2;NA;NA
"Região Metropolitana de Central";"Pedestres";NA;1;2;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;2;NA;1;NA;2;1;2;NA;NA
"Região Metropolitana de Cascavel";"Pedestres";6;6;6;4;7;4;3;5;4;5;1;3;7;5;7;3;1;4;3;4;7;6;NA
"Região Metropolitana de Campo Mourão";"Pedestres";1;NA;3;3;4;1;3;3;1;5;9;5;9;9;2;9;6;10;1;7;3;6;NA
"Região Metropolitana de Campinas";"Pedestres";16;25;45;29;45;41;42;49;41;40;58;51;45;54;42;43;40;50;34;42;46;48;NA
"Região Metropolitana de Campina Grande";"Pedestres";5;39;34;5;NA;NA;1;NA;2;1;1;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA
"Região Metropolitana de Cajazeiras";"Pedestres";1;NA;2;1;NA;1;NA;NA;1;2;1;2;2;1;4;3;4;3;NA;3;1;1;NA
"Região Metropolitana de Caetés";"Pedestres";7;9;10;3;1;5;4;6;1;2;4;3;6;4;1;1;NA;1;1;2;1;1;NA
"Região Metropolitana de Belém";"Pedestres";193;176;264;281;232;267;261;220;251;218;346;352;368;266;191;255;113;226;125;95;107;82;NA
"Região Metropolitana de Belo Horizonte";"Pedestres";187;217;212;200;213;220;237;227;218;200;224;192;176;134;165;124;130;140;105;101;97;107;NA
"Região Metropolitana de Barra de Santa Rosa";"Pedestres";NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Região Metropolitana de Araruna";"Pedestres";1;NA;NA;NA;1;3;1;NA;1;NA;NA;NA;NA;2;NA;1;1;1;NA;NA;NA;NA;NA
"Região Metropolitana de Aracaju";"Pedestres";28;37;43;45;42;38;42;32;51;50;60;51;45;47;54;49;27;33;26;27;23;23;NA
"Região Metropolitana de Apucarana";"Pedestres";10;5;3;2;6;1;4;5;5;3;3;5;5;9;4;5;5;5;2;7;6;2;NA
"Região Metropolitana da Zona da Mata";"Pedestres";14;12;21;4;4;6;4;14;7;9;5;5;6;2;4;2;2;6;3;NA;3;4;NA
"Região Metropolitana da Zona Leste do Estado do Maranhão";"Pedestres";2;1;1;4;2;3;5;5;8;6;12;12;13;10;15;8;24;3;15;7;8;9;NA
"Região Metropolitana da Serra Gaúcha";"Pedestres";1;2;NA;NA;4;6;3;3;1;5;2;1;6;3;NA;3;2;3;2;1;2;2;NA
"Região Metropolitana da Grande Vitória";"Pedestres";78;73;84;85;79;69;70;82;91;67;83;90;84;77;61;53;52;51;55;60;41;51;NA
"Região Metropolitana da Grande São Luís";"Pedestres";39;61;90;65;82;88;73;71;60;63;89;65;77;33;31;29;43;55;16;23;48;34;NA
"Região Metropolitana da Foz do Rio Itajaí";"Pedestres";5;4;3;3;3;2;4;7;4;1;5;5;6;2;1;2;4;2;2;7;6;2;NA
"Região Metropolitana da Capital";"Pedestres";10;13;7;1;4;10;7;12;5;3;8;7;8;12;20;9;10;13;9;3;3;10;NA
"Região Metropolitana da Baixada Santista";"Pedestres";26;32;43;49;43;60;36;50;41;35;40;36;39;39;31;32;28;25;39;38;45;42;NA
"Região Metropolitana Carbonífera";"Pedestres";2;3;3;1;3;2;NA;1;NA;4;NA;1;3;1;1;1;1;3;2;2;1;NA;NA
"Região Integrada de Desenvolvimento do Distrito Federal e Entorno";"Pedestres";206;225;245;235;206;212;182;204;220;184;223;182;176;167;158;123;139;109;108;109;100;100;NA
"Região Integrada de Desenvolvimento da Grande Teresina";"Pedestres";38;46;50;64;63;56;65;59;80;68;71;63;54;50;58;55;40;38;48;39;32;31;NA
"Região Administrativa Integrada de Desenvolvimento do Polo Petrolina/PE e Juazeiro/BA";"Pedestres";23;15;21;19;14;22;16;3;20;17;22;31;26;23;19;13;29;29;19;29;21;14;NA
"Entorno Metropolitano da RM Vale do Rio Cuiabá";"Pedestres";3;1;3;3;2;5;5;NA;NA;3;2;2;3;2;4;3;2;2;3;1;2;NA;NA
"Colar Metropolitano de Belo Horizonte";"Pedestres";NA;6;2;2;5;3;7;4;6;5;7;5;13;12;14;8;6;9;14;8;10;16;NA
"Colar Metropolitano";"Pedestres";2;NA;2;NA;1;2;1;NA;2;1;4;NA;NA;2;9;4;3;2;6;5;3;1;NA
"-";"Pedestres";1115;1134;1300;1352;1375;1342;1442;1432;1481;1390;1614;1455;1464;1252;1360;1191;1158;1119;1104;1161;963;1045;NA
"Área de Expansão Metropolitana";"Outros";1;NA;2;NA;NA;NA;1;1;4;3;1;8;3;5;6;6;6;12;12;9;9;12;NA
"Região Metropolitana do Vale do Rio Cuiabá";"Outros";26;7;15;13;23;28;23;33;35;39;23;55;40;64;46;35;37;39;36;30;42;28;NA
"Região Metropolitana do Vale do Piancó";"Outros";2;NA;1;NA;1;NA;3;NA;4;4;2;4;3;2;2;3;1;NA;1;1;NA;3;NA
"Região Metropolitana do Vale do Paraíba e Litoral Norte";"Outros";34;31;39;30;38;38;35;47;41;17;25;35;37;24;31;27;21;14;29;31;23;32;NA
"Região Metropolitana do Vale do Paraíba";"Outros";1;6;3;2;3;2;8;7;9;14;20;16;14;20;16;26;18;2;NA;14;3;3;NA
"Região Metropolitana do Vale do Mamanguape";"Outros";2;NA;2;NA;3;7;1;3;3;9;5;4;4;6;2;5;2;5;3;3;9;11;NA
"Região Metropolitana do Vale do Itajaí";"Outros";3;NA;1;1;2;5;1;4;NA;1;3;1;2;2;1;1;NA;NA;NA;NA;2;1;NA
"Região Metropolitana do Vale do Aço";"Outros";NA;5;4;7;2;6;10;4;1;1;3;24;13;15;20;12;26;26;12;12;14;13;NA
"Região Metropolitana do São Francisco";"Outros";8;5;NA;6;1;6;1;10;4;4;11;16;23;14;31;16;15;NA;NA;NA;NA;1;NA
"Região Metropolitana do Sul do Estado";"Outros";NA;2;NA;1;NA;2;NA;3;1;3;1;2;NA;NA;3;5;NA;1;1;1;NA;NA;NA
"Região Metropolitana do Sudoeste Maranhense";"Outros";32;39;46;36;55;65;47;104;129;122;160;118;61;65;48;55;53;61;23;14;23;13;NA
"Região Metropolitana do Sertão";"Outros";1;4;1;3;1;5;2;4;11;9;11;18;29;21;35;25;30;1;2;1;2;3;NA
"Região Metropolitana do Rio de Janeiro";"Outros";180;190;163;153;158;159;191;158;123;87;209;231;443;336;459;152;486;335;239;276;304;337;NA
"Região Metropolitana do Planalto Norte";"Outros";3;2;2;1;NA;1;NA;1;NA;1;NA;1;NA;1;NA;1;NA;NA;1;NA;NA;1;NA
"Região Metropolitana do Médio Sertão";"Outros";4;3;2;1;1;3;5;3;3;4;10;23;25;30;35;24;28;1;NA;NA;NA;1;NA
"Região Metropolitana do Extremo Oeste";"Outros";2;3;NA;1;NA;NA;2;1;3;1;3;6;2;3;1;NA;NA;5;3;NA;1;1;NA
"Região Metropolitana do Contestado";"Outros";2;2;4;11;4;2;1;1;1;1;1;3;8;2;2;1;NA;3;NA;NA;5;6;NA
"Região Metropolitana do Cariri";"Outros";11;2;2;9;27;5;1;9;58;59;48;130;177;121;125;139;102;6;6;2;3;21;NA
"Região Metropolitana do Alto Vale do Itajaí";"Outros";NA;1;1;NA;NA;3;NA;NA;1;NA;2;NA;NA;NA;3;5;1;NA;NA;1;NA;1;NA
"Região Metropolitana do Agreste";"Outros";27;17;10;20;37;23;34;38;51;71;109;127;175;168;202;182;136;10;2;5;10;8;NA
"Região Metropolitana de Umuarama";"Outros";3;5;3;2;1;NA;3;3;NA;1;1;NA;3;5;9;8;8;7;NA;3;4;15;NA
"Região Metropolitana de Tubarão";"Outros";3;3;1;2;2;NA;1;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;2;1;NA;1;NA
"Região Metropolitana de Toledo";"Outros";5;6;11;13;3;6;16;20;9;8;14;19;14;5;13;8;12;5;NA;1;2;8;NA
"Região Metropolitana de São Paulo";"Outros";245;306;258;317;251;271;125;239;163;129;122;136;122;147;145;116;112;137;135;68;151;121;NA
"Região Metropolitana de São José do Rio Preto";"Outros";9;14;12;14;13;20;9;9;16;18;14;15;17;14;13;10;16;10;12;14;6;9;NA
"Região Metropolitana de Sousa";"Outros";1;NA;1;NA;3;NA;11;NA;4;4;6;2;7;NA;NA;1;3;NA;NA;1;9;7;NA
"Região Metropolitana de Sorocaba";"Outros";28;23;32;26;34;18;12;14;7;5;9;20;12;21;10;21;25;27;19;11;10;12;NA
"Região Metropolitana de Sobral";"Outros";1;2;2;2;3;1;10;NA;4;6;5;11;5;31;71;49;59;28;23;29;90;31;NA
"Região Metropolitana de Santarém";"Outros";7;7;12;26;34;28;22;31;45;10;15;30;NA;2;2;NA;3;4;3;6;6;1;NA
"Região Metropolitana de Salvador";"Outros";53;23;28;22;20;100;146;89;65;40;103;79;89;50;56;33;51;33;35;68;60;36;NA
"Região Metropolitana de Ribeirão Preto";"Outros";25;33;25;22;32;36;12;7;5;8;9;13;16;12;10;17;9;13;5;13;NA;13;NA
"Região Metropolitana de Recife";"Outros";174;203;190;187;133;150;140;189;181;198;208;193;135;180;99;85;62;44;39;46;37;31;NA
"Região Metropolitana de Porto Velho";"Outros";66;42;48;71;76;54;105;90;101;98;133;104;121;28;81;47;27;13;8;20;21;18;NA
"Região Metropolitana de Porto Alegre";"Outros";32;26;32;46;32;31;25;30;17;30;17;17;17;17;18;19;9;7;6;3;5;11;NA
"Região Metropolitana de Piracicaba";"Outros";20;15;23;17;19;26;14;15;16;12;17;17;26;13;14;24;18;17;12;9;12;15;NA
"Região Metropolitana de Patos";"Outros";1;NA;2;5;15;3;17;7;11;37;35;23;7;4;3;NA;1;2;2;NA;3;3;NA
"Região Metropolitana de Palmeira dos Índios";"Outros";2;1;2;NA;NA;NA;NA;1;1;NA;3;5;6;7;9;12;12;3;NA;NA;NA;NA;NA
"Região Metropolitana de Palmas";"Outros";7;6;7;13;7;13;7;16;13;44;49;58;35;10;24;18;16;15;12;26;36;25;NA
"Região Metropolitana de Natal";"Outros";10;23;30;20;20;32;8;22;29;46;31;31;47;39;64;56;47;71;97;74;56;55;NA
"Região Metropolitana de Maringá";"Outros";4;4;5;5;9;6;7;5;9;9;3;12;19;13;14;16;6;7;3;1;NA;2;NA
"Região Metropolitana de Manaus";"Outros";38;26;49;48;85;105;129;89;94;86;115;118;95;76;75;41;40;23;27;34;18;27;NA
"Região Metropolitana de Maceió";"Outros";19;19;34;55;61;56;80;64;140;127;166;204;177;143;229;182;190;21;11;112;47;45;NA
"Região Metropolitana de Macapá";"Outros";30;5;16;5;8;2;28;52;61;74;83;88;77;59;10;22;4;2;3;23;7;25;NA
"Região Metropolitana de Londrina";"Outros";7;3;4;8;6;8;8;7;4;4;9;14;10;6;10;7;3;7;3;3;2;3;NA
"Região Metropolitana de Lages";"Outros";1;NA;2;2;5;4;1;3;3;3;5;3;2;9;3;5;3;2;1;2;3;NA;NA
"Região Metropolitana de Jundiaí";"Outros";6;10;9;15;19;8;8;10;5;3;11;2;3;2;2;1;5;2;1;5;2;1;NA
"Região Metropolitana de João Pessoa";"Outros";63;113;81;40;68;68;71;64;80;111;89;59;49;63;69;57;42;44;19;46;72;36;NA
"Região Metropolitana de Joinville";"Outros";2;NA;4;NA;2;4;6;1;1;3;3;4;5;2;5;7;2;2;2;1;2;8;NA
"Região Metropolitana de Jaraguá do Sul";"Outros";NA;NA;NA;NA;NA;2;2;1;1;2;NA;1;1;NA;1;1;NA;1;NA;NA;1;1;NA
"Região Metropolitana de Itabaiana";"Outros";1;1;2;2;11;18;6;6;8;11;6;9;6;7;5;2;6;2;1;3;1;5;NA
"Região Metropolitana de Gurupi";"Outros";7;2;8;4;4;4;NA;4;3;3;4;1;NA;5;5;5;8;8;7;8;10;10;NA
"Região Metropolitana de Guarabira";"Outros";NA;1;NA;1;2;5;5;9;12;2;6;6;5;8;6;4;5;4;8;6;3;10;NA
"Região Metropolitana de Goiânia";"Outros";89;79;119;132;134;99;96;110;144;148;198;177;155;112;83;74;75;25;21;38;115;129;NA
"Região Metropolitana de Fortaleza";"Outros";73;43;15;12;4;22;18;14;4;1;111;35;5;15;130;26;13;12;5;8;3;4;NA
"Região Metropolitana de Florianópolis";"Outros";4;2;2;6;6;6;5;13;10;9;1;5;4;2;3;4;2;1;1;3;5;2;NA
"Região Metropolitana de Feira de Santana";"Outros";7;NA;1;1;3;1;13;22;20;12;23;29;34;44;51;20;18;30;9;13;51;67;NA
"Região Metropolitana de Esperança";"Outros";1;NA;2;1;14;1;15;13;14;12;21;21;15;11;11;12;10;20;10;9;14;12;NA
"Região Metropolitana de Curitiba";"Outros";41;28;25;22;19;15;6;14;9;21;12;13;17;8;9;7;8;11;5;4;8;6;NA
"Região Metropolitana de Chapecó";"Outros";1;8;3;2;NA;2;1;3;3;NA;NA;NA;1;1;2;2;NA;1;1;2;1;2;NA
"Região Metropolitana de Central";"Outros";6;1;3;2;NA;NA;NA;1;NA;3;5;2;1;NA;NA;NA;NA;NA;NA;NA;1;1;NA
"Região Metropolitana de Cascavel";"Outros";2;1;NA;1;1;1;NA;2;1;NA;1;NA;1;6;2;NA;1;1;NA;NA;NA;1;NA
"Região Metropolitana de Campo Mourão";"Outros";6;2;1;5;4;6;1;3;5;5;7;9;11;12;12;8;10;8;3;2;NA;3;NA
"Região Metropolitana de Campinas";"Outros";51;47;48;45;47;48;22;31;25;18;32;24;16;8;12;5;8;9;14;11;7;16;NA
"Região Metropolitana de Campina Grande";"Outros";67;49;140;145;170;155;202;191;157;124;168;137;160;189;164;149;135;100;120;88;96;110;NA
"Região Metropolitana de Cajazeiras";"Outros";NA;2;3;1;2;1;3;2;NA;6;2;5;7;2;1;1;3;1;NA;1;16;8;NA
"Região Metropolitana de Caetés";"Outros";1;NA;3;2;2;6;5;9;16;7;18;17;10;21;23;20;23;3;3;8;2;4;NA
"Região Metropolitana de Belém";"Outros";30;60;36;23;30;33;16;9;16;11;18;10;22;24;161;66;214;22;93;156;135;150;NA
"Região Metropolitana de Belo Horizonte";"Outros";160;196;152;207;211;209;231;216;148;178;117;152;181;122;121;105;121;96;80;65;56;65;NA
"Região Metropolitana de Barra de Santa Rosa";"Outros";2;NA;2;NA;7;NA;11;5;10;2;11;10;15;14;5;7;10;10;6;7;5;9;NA
"Região Metropolitana de Araruna";"Outros";NA;NA;NA;1;1;1;1;NA;2;NA;2;2;7;2;1;1;5;1;2;2;1;6;NA
"Região Metropolitana de Aracaju";"Outros";8;6;18;5;7;20;10;19;12;14;16;10;11;18;14;19;17;7;8;9;6;9;NA
"Região Metropolitana de Apucarana";"Outros";1;1;2;6;3;NA;2;1;1;4;2;3;6;8;4;3;3;2;3;4;6;1;NA
"Região Metropolitana da Zona da Mata";"Outros";6;6;9;14;12;13;7;14;19;19;31;46;31;26;28;57;46;16;4;20;2;20;NA
"Região Metropolitana da Zona Leste do Estado do Maranhão";"Outros";12;6;17;11;17;13;19;20;19;14;20;20;19;18;20;9;20;30;8;14;18;9;NA
"Região Metropolitana da Serra Gaúcha";"Outros";NA;2;1;NA;3;2;1;NA;2;1;1;1;2;2;1;NA;1;2;1;1;1;1;NA
"Região Metropolitana da Grande Vitória";"Outros";36;25;50;26;37;40;24;32;24;32;24;18;30;30;24;19;16;40;39;34;38;8;NA
"Região Metropolitana da Grande São Luís";"Outros";22;51;47;71;68;55;61;93;150;88;83;100;131;156;163;154;124;68;135;137;102;113;NA
"Região Metropolitana da Foz do Rio Itajaí";"Outros";1;2;2;2;2;4;1;1;3;2;3;3;1;1;2;2;1;4;5;1;8;6;NA
"Região Metropolitana da Capital";"Outros";10;18;35;36;24;15;27;13;9;49;20;24;11;14;13;19;18;5;14;28;21;23;NA
"Região Metropolitana da Baixada Santista";"Outros";48;50;55;49;80;70;88;79;94;64;43;52;78;51;47;59;52;26;17;29;13;11;NA
"Região Metropolitana Carbonífera";"Outros";1;2;NA;NA;3;2;1;3;3;3;NA;2;NA;NA;NA;NA;NA;NA;1;NA;2;1;NA
"Região Integrada de Desenvolvimento do Distrito Federal e Entorno";"Outros";71;96;92;90;88;101;72;83;96;87;98;112;126;114;162;109;94;102;112;88;76;117;NA
"Região Integrada de Desenvolvimento da Grande Teresina";"Outros";75;93;110;121;83;59;135;128;105;91;53;72;90;110;132;76;60;47;35;34;54;39;NA
"Região Administrativa Integrada de Desenvolvimento do Polo Petrolina/PE e Juazeiro/BA";"Outros";14;6;17;26;17;30;30;14;22;62;57;46;42;38;32;34;32;31;23;23;24;34;NA
"Entorno Metropolitano da RM Vale do Rio Cuiabá";"Outros";2;3;NA;3;3;6;5;3;11;6;6;6;8;8;26;20;9;14;7;3;12;10;NA
"Colar Metropolitano de Belo Horizonte";"Outros";17;11;12;6;13;11;6;38;36;24;29;23;32;11;8;13;12;15;12;7;7;10;NA
"Colar Metropolitano";"Outros";4;3;1;NA;2;4;NA;NA;3;1;5;3;17;7;23;9;1;3;5;4;4;9;NA
"-";"Outros";1290;1097;1349;1373;1551;1650;1541;1687;1802;1921;2402;2385;2790;2852;2979;2666;2600;2290;2106;2271;2751;2880;NA
